Participant-ID;age;gender;ef1;ef2;ef3;ef4;ef5;ef6;ef7;ef8;ef9;ef10;ef11;ef12
97;18;weiblich;3;4;3;3;2;4;4;3;3;5;5;3
98;24;weiblich;4;2;3;4;2;3;4;4;4;2;4;4
99;22;männlich;2;2;2;3;3;2;3;4;4;1;4;3
100;34;weiblich;4;4;2;4;4;4;4;4;4;4;4;4
101;21;weiblich;4;5;2;4;4;3;2;4;4;4;3;3
102;24;weiblich;4;2;3;3;4;4;2;5;4;2;1;3
103;19;weiblich;2;4;1;1;4;1;1;2;1;2;4;2
104;43;weiblich;2;4;2;2;5;1;2;2;1;4;2;2
105;36;weiblich;3;4;4;3;2;5;4;5;5;2;5;5
106;25;weiblich;3;3;4;2;2;2;2;1;2;5;5;2
107;30;männlich;4;5;3;4;3;5;2;4;4;5;5;5
108;45;weiblich;3;2;3;3;4;3;3;3;3;4;3;4
109;26;männlich;2;3;2;3;3;4;4;4;3;2;2;4
110;34;männlich;2;4;1;3;2;5;2;5;4;1;2;4
111;19;weiblich;2;3;4;3;2;3;5;5;3;1;4;4
112;25;weiblich;3;5;1;3;4;1;2;3;3;3;4;4
113;20;weiblich;4;4;3;3;4;4;2;4;2;2;2;3
114;27;männlich;4;3;3;3;5;4;3;4;2;4;2;4
115;21;männlich;4;4;2;3;2;2;2;3;2;4;3;3
116;21;weiblich;2;4;3;3;2;2;3;3;2;4;3;2
117;38;weiblich;3;5;2;4;5;5;3;5;5;3;4;5
118;24;weiblich;4;4;1;5;2;4;4;4;3;2;5;3
119;27;weiblich;4;2;2;2;4;3;3;4;4;3;3;4
120;25;weiblich;2;1;1;1;5;1;5;4;1;1;1;3
121;33;weiblich;4;3;3;4;2;4;3;4;3;2;3;3
122;21;weiblich;4;4;3;4;3;4;4;4;4;5;5;4
123;19;weiblich;2;4;1;2;2;2;2;5;1;5;4;5
124;21;weiblich;3;3;1;4;4;4;4;3;5;2;5;4
125;21;weiblich;5;3;4;4;3;4;4;2;2;1;2;4
126;22;männlich;2;1;2;4;2;3;2;2;4;1;5;5
127;30;männlich;4;3;1;4;3;4;4;4;3;4;3;5
128;19;männlich;4;4;3;3;2;2;4;3;3;2;4;4
129;25;männlich;2;3;2;3;4;3;2;3;3;2;3;4
130;28;weiblich;4;3;2;4;4;4;3;3;2;1;5;2
131;34;weiblich;4;3;3;4;2;4;3;4;4;3;3;4
132;20;weiblich;4;4;3;2;3;2;3;2;2;4;4;4
133;22;weiblich;2;4;1;2;2;2;2;2;1;5;5;3
134;26;weiblich;4;4;1;3;2;4;2;4;2;4;4;5
135;20;weiblich;2;4;2;4;1;5;4;5;5;4;5;5
136;33;weiblich;5;2;2;4;4;5;4;5;5;1;5;5
137;22;weiblich;4;5;4;2;1;4;4;1;4;5;5;5
138;20;weiblich;3;4;1;3;1;3;1;4;2;4;5;4
139;20;weiblich;5;4;2;4;4;5;3;5;4;4;4;5
140;22;weiblich;2;4;2;4;3;4;3;4;3;4;4;4
141;22;weiblich;3;4;3;3;3;4;2;3;2;1;3;3
142;19;weiblich;4;4;3;4;2;4;4;5;5;4;4;5
143;24;weiblich;4;4;2;4;3;4;3;5;4;4;5;5
144;20;weiblich;4;5;3;4;2;4;4;5;4;5;4;4
145;25;weiblich;4;4;1;2;1;5;4;5;5;3;4;5
146;20;weiblich;4;4;4;4;3;4;4;4;4;4;4;4
147;34;männlich;5;4;3;4;4;4;4;5;4;4;5;4
148;20;weiblich;2;4;2;4;4;2;4;2;4;4;5;4
149;20;weiblich;3;5;2;4;3;4;3;4;3;5;5;4
150;22;weiblich;4;2;1;4;3;4;4;4;3;2;2;4
151;27;weiblich;5;4;2;4;3;4;5;4;5;4;4;5
152;23;männlich;3;5;1;4;5;4;3;5;4;4;5;5
153;23;weiblich;2;4;4;4;2;2;4;2;4;4;4;4
154;21;weiblich;4;4;2;4;1;3;4;4;2;3;4;4
